path	module	domain	type	size_bytes	purpose	search_keys
internal/module/appupdate/github_release_test.go	internal	modules	go-test	9306	业务模块层	internal,module,appupdate,github,release,test,业务模块层
internal/module/appupdate/github_release.go	internal	modules	go-source	8377	业务模块层	internal,module,appupdate,github,release,业务模块层
internal/module/appupdate/manifest_test.go	internal	modules	go-test	7290	业务模块层	internal,module,appupdate,manifest,test,业务模块层
internal/module/appupdate/manifest.go	internal	modules	go-source	7433	业务模块层	internal,module,appupdate,manifest,业务模块层
internal/module/appupdate/module.go	internal	modules	go-source	265	业务模块层	internal,module,appupdate,业务模块层
internal/module/appupdate/rpc_test.go	internal	modules	go-test	2397	业务模块层	internal,module,appupdate,rpc,test,业务模块层
internal/module/appupdate/rpc.go	internal	modules	go-source	1461	业务模块层	internal,module,appupdate,rpc,业务模块层
internal/module/appupdate/service_test.go	internal	modules	go-test	17449	业务模块层	internal,module,appupdate,service,test,业务模块层
internal/module/appupdate/service.go	internal	modules	go-source	19835	业务模块层	internal,module,appupdate,service,业务模块层
internal/module/cron/actors_test.go	internal	modules	go-test	2588	业务模块层	internal,module,cron,actors,test,业务模块层
internal/module/cron/contract.go	internal	modules	go-source	6352	业务模块层	internal,module,cron,contract,业务模块层
internal/module/cron/lease_actor.go	internal	modules	go-source	1668	业务模块层	internal,module,cron,lease,actor,业务模块层
internal/module/cron/module.go	internal	modules	go-source	4226	业务模块层	internal,module,cron,业务模块层
internal/module/cron/progress_subscriber.go	internal	modules	go-source	6523	业务模块层	internal,module,cron,progress,subscriber,业务模块层
internal/module/cron/rpc.go	internal	modules	go-source	8861	业务模块层	internal,module,cron,rpc,业务模块层
internal/module/cron/schedule_test.go	internal	modules	go-test	3226	业务模块层	internal,module,cron,schedule,test,业务模块层
internal/module/cron/schedule.go	internal	modules	go-source	5121	业务模块层	internal,module,cron,schedule,业务模块层
internal/module/cron/scheduler_publish_test.go	internal	modules	go-test	4779	业务模块层	internal,module,cron,scheduler,publish,test,业务模块层
internal/module/cron/scheduler_publish.go	internal	modules	go-source	2392	业务模块层	internal,module,cron,scheduler,publish,业务模块层
internal/module/cron/scheduler_recovery.go	internal	modules	go-source	11559	业务模块层	internal,module,cron,scheduler,recovery,业务模块层
internal/module/cron/scheduler_test.go	internal	modules	go-test	19051	业务模块层	internal,module,cron,scheduler,test,业务模块层
internal/module/cron/scheduler.go	internal	modules	go-source	17858	业务模块层	internal,module,cron,scheduler,业务模块层
internal/module/cron/service_test.go	internal	modules	go-test	14575	业务模块层	internal,module,cron,service,test,业务模块层
internal/module/cron/service.go	internal	modules	go-source	12579	业务模块层	internal,module,cron,service,业务模块层
internal/module/cron/subscribers_test.go	internal	modules	go-test	3228	业务模块层	internal,module,cron,subscribers,test,业务模块层
internal/module/cron/subscribers.go	internal	modules	go-source	1442	业务模块层	internal,module,cron,subscribers,业务模块层
internal/module/cron/thread_bootstrapper.go	internal	modules	go-source	3884	业务模块层	internal,module,cron,thread,bootstrapper,业务模块层
internal/module/cron/tick_actor.go	internal	modules	go-source	2438	业务模块层	internal,module,cron,tick,actor,业务模块层
internal/module/cron/timer_jitter.go	internal	modules	go-source	306	业务模块层	internal,module,cron,timer,jitter,业务模块层
internal/module/cron/turn_adapter_shard11_helpers_test.go	internal	modules	go-test	5054	业务模块层	internal,module,cron,turn,adapter,shard11,helpers,test,业务模块层
internal/module/cron/turn_adapter_test.go	internal	modules	go-test	22131	业务模块层	internal,module,cron,turn,adapter,test,业务模块层
internal/module/cron/turn_adapter.go	internal	modules	go-source	12804	业务模块层	internal,module,cron,turn,adapter,业务模块层
internal/module/dashboard/agent_status_test.go	internal	modules	go-test	2969	dashboard 读模型与 UI RPC 服务	internal,module,dashboard,agent,status,test,读模型与,UI,RPC,服务
internal/module/dashboard/agent_status.go	internal	modules	go-source	472	dashboard 读模型与 UI RPC 服务	internal,module,dashboard,agent,status,读模型与,UI,RPC,服务
internal/module/dashboard/ai_logs.go	internal	modules	go-source	1223	dashboard 读模型与 UI RPC 服务	internal,module,dashboard,ai,logs,读模型与,UI,RPC,服务
internal/module/dashboard/command_cards_test.go	internal	modules	go-test	1689	dashboard 读模型与 UI RPC 服务	internal,module,dashboard,command,cards,test,读模型与,UI,RPC,服务
internal/module/dashboard/contract.go	internal	modules	go-source	2405	dashboard 读模型与 UI RPC 服务	internal,module,dashboard,contract,读模型与,UI,RPC,服务
internal/module/dashboard/dag_runtime_test.go	internal	modules	go-test	4361	dashboard 读模型与 UI RPC 服务	internal,module,dashboard,dag,runtime,test,读模型与,UI,RPC,服务
internal/module/dashboard/dag_snapshot_schedule_test.go	internal	modules	go-test	1266	dashboard 读模型与 UI RPC 服务	internal,module,dashboard,dag,snapshot,schedule,test,读模型与,UI,RPC,服务
internal/module/dashboard/dag_snapshot_test.go	internal	modules	go-test	25804	dashboard 读模型与 UI RPC 服务	internal,module,dashboard,dag,snapshot,test,读模型与,UI,RPC,服务
internal/module/dashboard/dag_snapshot_time.go	internal	modules	go-source	6304	dashboard 读模型与 UI RPC 服务	internal,module,dashboard,dag,snapshot,time,读模型与,UI,RPC,服务
internal/module/dashboard/dag_snapshot.go	internal	modules	go-source	17223	dashboard 读模型与 UI RPC 服务	internal,module,dashboard,dag,snapshot,读模型与,UI,RPC,服务
internal/module/dashboard/detail_test.go	internal	modules	go-test	17485	dashboard 读模型与 UI RPC 服务	internal,module,dashboard,detail,test,读模型与,UI,RPC,服务
internal/module/dashboard/detail.go	internal	modules	go-source	8325	dashboard 读模型与 UI RPC 服务	internal,module,dashboard,detail,读模型与,UI,RPC,服务
internal/module/dashboard/factory.go	internal	modules	go-source	6849	dashboard 读模型与 UI RPC 服务	internal,module,dashboard,factory,读模型与,UI,RPC,服务
internal/module/dashboard/insights_rpc.go	internal	modules	go-source	2429	dashboard 读模型与 UI RPC 服务	internal,module,dashboard,insights,rpc,读模型与,UI,RPC,服务
internal/module/dashboard/logs.go	internal	modules	go-source	3283	dashboard 读模型与 UI RPC 服务	internal,module,dashboard,logs,读模型与,UI,RPC,服务
internal/module/dashboard/module.go	internal	modules	go-source	2266	dashboard 读模型与 UI RPC 服务	internal,module,dashboard,读模型与,UI,RPC,服务
