path	module	domain	type	size_bytes	purpose	search_keys
internal/store/agentstatus/contract_test.go	internal	store-sql	go-test	1161	应用级持久化 store	internal,store,agentstatus,contract,test,应用级持久化
internal/store/agentstatus/contract.go	internal	store-sql	go-source	1320	应用级持久化 store	internal,store,agentstatus,contract,应用级持久化
internal/store/agentstatus/module.go	internal	store-sql	go-source	207	应用级持久化 store	internal,store,agentstatus,module,应用级持久化
internal/store/agentstatus/sqlite_integration_test.go	internal	store-sql	go-test	2304	应用级持久化 store	internal,store,agentstatus,sqlite,integration,test,应用级持久化
internal/store/agentstatus/store_test.go	internal	store-sql	go-test	5594	应用级持久化 store	internal,store,agentstatus,test,应用级持久化
internal/store/agentstatus/store.go	internal	store-sql	go-source	3477	应用级持久化 store	internal,store,agentstatus,应用级持久化
internal/store/ailog/contract.go	internal	store-sql	go-source	1492	应用级持久化 store	internal,store,ailog,contract,应用级持久化
internal/store/ailog/module.go	internal	store-sql	go-source	187	应用级持久化 store	internal,store,ailog,module,应用级持久化
internal/store/ailog/store_test.go	internal	store-sql	go-test	13803	应用级持久化 store	internal,store,ailog,test,应用级持久化
internal/store/ailog/store.go	internal	store-sql	go-source	9404	应用级持久化 store	internal,store,ailog,应用级持久化
internal/store/auditlog/contract_test.go	internal	store-sql	go-test	1112	应用级持久化 store	internal,store,auditlog,contract,test,应用级持久化
internal/store/auditlog/contract.go	internal	store-sql	go-source	1427	应用级持久化 store	internal,store,auditlog,contract,应用级持久化
internal/store/auditlog/module.go	internal	store-sql	go-source	201	应用级持久化 store	internal,store,auditlog,module,应用级持久化
internal/store/auditlog/sqlite_integration_test.go	internal	store-sql	go-test	1851	应用级持久化 store	internal,store,auditlog,sqlite,integration,test,应用级持久化
internal/store/auditlog/store_field_guard_test.go	internal	store-sql	go-test	3429	应用级持久化 store	internal,store,auditlog,field,guard,test,应用级持久化
internal/store/auditlog/store_test.go	internal	store-sql	go-test	3749	应用级持久化 store	internal,store,auditlog,test,应用级持久化
internal/store/auditlog/store.go	internal	store-sql	go-source	2919	应用级持久化 store	internal,store,auditlog,应用级持久化
internal/store/binding/codex_identity_test.go	internal	store-sql	go-test	6273	应用级持久化 store	internal,store,binding,codex,identity,test,应用级持久化
internal/store/binding/contract.go	internal	store-sql	go-source	3857	应用级持久化 store	internal,store,binding,contract,应用级持久化
internal/store/binding/module.go	internal	store-sql	go-source	276	应用级持久化 store	internal,store,binding,module,应用级持久化
internal/store/binding/session_adapter.go	internal	store-sql	go-source	3493	应用级持久化 store	internal,store,binding,session,adapter,应用级持久化
internal/store/binding/sqlite_codex_identity_test.go	internal	store-sql	go-test	7905	应用级持久化 store	internal,store,binding,sqlite,codex,identity,test,应用级持久化
internal/store/binding/store_shard12_helpers_test.go	internal	store-sql	go-test	5362	应用级持久化 store	internal,store,binding,shard12,helpers,test,应用级持久化
internal/store/binding/store_test.go	internal	store-sql	go-test	22085	应用级持久化 store	internal,store,binding,test,应用级持久化
internal/store/binding/store.go	internal	store-sql	go-source	13074	应用级持久化 store	internal,store,binding,应用级持久化
internal/store/buslog/contract_test.go	internal	store-sql	go-test	1107	应用级持久化 store	internal,store,buslog,contract,test,应用级持久化
internal/store/buslog/contract.go	internal	store-sql	go-source	1220	应用级持久化 store	internal,store,buslog,contract,应用级持久化
internal/store/buslog/module.go	internal	store-sql	go-source	192	应用级持久化 store	internal,store,buslog,module,应用级持久化
internal/store/buslog/sqlite_integration_test.go	internal	store-sql	go-test	3382	应用级持久化 store	internal,store,buslog,sqlite,integration,test,应用级持久化
internal/store/buslog/store_field_guard_test.go	internal	store-sql	go-test	4589	应用级持久化 store	internal,store,buslog,field,guard,test,应用级持久化
internal/store/buslog/store_test.go	internal	store-sql	go-test	4522	应用级持久化 store	internal,store,buslog,test,应用级持久化
